,,,,, DL SUBSIDIZED ,,,,, DL UNSUBSIDIZED- UNDERGRADUATE ,,,,, DL UNSUBSIDIZED- GRADUATE ,,,,, DL PARENT PLUS ,,,,,DL GRAD PLUS,,,,
00493400, DAYMAR INSTITUTE                                                       , TN ,372171056,Proprietary, 341 , 341 ," $1,176,315.00 ", 387 ," $470,993.00 ", 336 , 344 ," $1,513,294.00 ", 394 ," $575,578.00 ", -   , -   , $-   , -   , $-   , 8 , 8 ," $69,501.00 ", 9 ," $24,605.00 ", -   , -   , $-   , -   , $-   
00493800, SOUTH COLLEGE                                                          , TN ,379093323,Proprietary, 279 , 279 ," $1,064,887.00 ", 290 ," $368,398.00 ", 276 , 276 ," $1,599,978.00 ", 287 ," $557,767.00 ", 72 , 72 ," $1,513,240.00 ", 72 ," $508,125.00 ", 10 , 10 ," $126,499.00 ", 12 ," $43,582.00 ", 58 , 58 ," $1,147,294.00 ", 58 ," $386,229.00 "
00494700, WEST TENNESSEE BUSINESS COLLEGE                                        , TN ,383013256,Proprietary, 73 , 73 ," $220,566.00 ", 82 ," $123,365.00 ", 61 , 61 ," $296,665.00 ", 69 ," $167,633.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00494900, BAYLOR COLLEGE OF MEDICINE                                             , TX ,770303498,Private-Nonprofit, -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , 487 , 488 ," $12,242,326.00 ", 889 ," $11,901,986.00 ", -   , -   , $-   , -   , $-   , 137 , 137 ," $2,839,125.00 ", 212 ," $2,493,966.00 "
00495100, UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON                   , TX ,770305400,Public, 93 , 93 ," $450,354.00 ", 118 ," $294,168.00 ", 83 , 91 ," $472,022.00 ", 110 ," $285,627.00 "," 1,056 "," 1,804 "," $31,756,328.00 "," 3,279 "," $29,559,380.00 ", 5 , 5 ," $78,139.00 ", 7 ," $63,649.00 ", 29 , 31 ," $400,170.00 ", 57 ," $347,521.00 "
00495200, UNIVERSITY OF TEXAS MEDICAL BRANCH AT GALVESTON                        , TX ,775551305,Public, 344 , 352 ," $1,820,039.00 ", 352 ," $962,493.00 ", 296 , 300 ," $1,708,112.00 ", 300 ," $894,940.00 "," 1,129 "," 1,244 "," $29,525,352.00 "," 1,295 "," $14,812,509.00 ", 7 , 7 ," $89,500.00 ", 7 ," $33,334.00 ", 111 , 131 ," $1,408,284.00 ", 133 ," $606,653.00 "
00497200, GALVESTON COLLEGE                                                      , TX ,775507447,Public, 183 , 183 ," $573,122.00 ", 202 ," $347,494.00 ", 164 , 164 ," $510,588.00 ", 179 ," $310,447.00 ", -   , -   , $-   , -   , $-   , 1 , 1 ," $2,000.00 ", 1 ," $1,000.00 ", -   , -   , $-   , -   , $-   
00497700, SOUTH TEXAS COLLEGE OF LAW                                             , TX ,770027006,Private-Nonprofit, -   , -   , $-   , -   , $-   , 1 , 1 ," $12,500.00 ", 1 ," $6,250.00 ", 751 , 765 ," $14,104,424.00 ", 765 ," $7,917,199.00 ", -   , -   , $-   , -   , $-   , 648 , 686 ," $12,362,657.00 ", 686 ," $7,120,731.00 "
00498800, CENTRAL VIRGINIA COMMUNITY COLLEGE                                     , VA ,245022498,Public, 135 , 135 ," $451,657.00 ", 135 ," $225,475.00 ", 113 , 113 ," $389,768.00 ", 113 ," $193,447.00 ", -   , -   , $-   , -   , $-   , 5 , 6 ," $22,700.00 ", 6 ," $11,350.00 ", -   , -   , $-   , -   , $-   
00499200, MILLER-MOTTE TECHNICAL COLLEGE                                         , VA ,245024353,Proprietary," 2,666 "," 2,898 "," $8,425,577.00 "," 4,271 "," $4,908,228.00 "," 2,536 "," 2,703 "," $12,537,094.00 "," 3,961 "," $7,108,980.00 ", -   , -   , $-   , -   , $-   , 27 , 29 ," $133,016.00 ", 43 ," $69,219.00 ", -   , -   , $-   , -   , $-   
00499600, DABNEY S LANCASTER COMMUNITY COLLEGE                                   , VA ,244221000,Public, 173 , 173 ," $454,868.00 ", 173 ," $284,644.00 ", 137 , 138 ," $497,798.00 ", 134 ," $286,410.00 ", -   , -   , $-   , -   , $-   , 1 , 1 ," $1,500.00 ", 1 ," $1,500.00 ", -   , -   , $-   , -   , $-   
00499900, BELLINGHAM TECHNICAL COLLEGE                                           , WA ,982251599,Public, 661 , 664 ," $1,944,981.00 ", 923 ," $944,168.00 ", 625 , 628 ," $2,812,679.00 ", 873 ," $1,357,466.00 ", -   , -   , $-   , -   , $-   , 3 , 3 ," $25,445.00 ", 4 ," $10,757.00 ", -   , -   , $-   , -   , $-   
00500000, PIERCE COLLEGE                                                         , WA ,984981919,Public, 764 , 768 ," $2,496,641.00 "," 1,312 "," $1,647,445.00 ", 710 , 715 ," $3,002,168.00 "," 1,200 "," $1,891,396.00 ", -   , -   , $-   , -   , $-   , 9 , 9 ," $53,627.00 ", 11 ," $24,621.00 ", -   , -   , $-   , -   , $-   
00500100, EDMONDS COMMUNITY COLLEGE                                              , WA ,980365999,Public, 798 , 798 ," $2,611,746.00 "," 1,143 "," $1,249,064.00 ", 806 , 806 ," $3,611,326.00 "," 1,140 "," $1,701,168.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00500600, WALLA WALLA COMMUNITY COLLEGE                                          , WA ,993629267,Public, 918 , 918 ," $3,096,211.00 ", 962 ," $1,048,915.00 ", 788 , 788 ," $3,545,658.00 ", 823 ," $1,144,753.00 ", -   , -   , $-   , -   , $-   , 11 , 11 ," $126,312.00 ", 12 ," $40,778.00 ", -   , -   , $-   , -   , $-   
00500700, WEST VIRGINIA JUNIOR COLLEGE                                           , WV ,265055596,Proprietary, 246 , 246 ," $813,129.00 ", 350 ," $424,220.00 ", 224 , 224 ," $752,901.00 ", 320 ," $371,962.00 ", -   , -   , $-   , -   , $-   , 12 , 12 ," $51,016.00 ", 20 ," $27,803.00 ", -   , -   , $-   , -   , $-   
00500800, MOUNTAIN STATE COLLEGE                                                 , WV ,261013993,Proprietary, 75 , 75 ," $255,526.00 ", 82 ," $95,204.00 ", 72 , 72 ," $350,989.00 ", 78 ," $128,197.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00501500, UNIVERSITY OF WISCONSIN - PARKSIDE                                     , WI ,531412000,Public," 2,143 "," 2,211 "," $8,585,933.00 "," 2,195 "," $4,401,353.00 "," 2,097 "," 2,384 "," $9,680,220.00 "," 2,363 "," $4,952,222.00 ", 41 , 46 ," $636,186.00 ", 45 ," $338,105.00 ", 225 , 234 ," $1,254,666.00 ", 234 ," $664,447.00 ", -   , -   , $-   , -   , $-   
00501900, UNIVERSIDAD ADVENTISTA DE LAS ANTILLAS                                 , PR ,006810118,Private-Nonprofit, 470 , 523 ," $1,051,529.00 "," 1,044 "," $1,050,179.00 ", 219 , 226 ," $440,480.00 ", 451 ," $439,980.00 ", 27 , 28 ," $87,250.00 ", 56 ," $87,250.00 ", 1 , 2 ," $4,000.00 ", 4 ," $4,000.00 ", -   , -   , $-   , -   , $-   
00502200, BAYAMON CENTRAL UNIVERSITY                                             , PR ,009601725,Private-Nonprofit, 321 , 321 ," $1,507,020.00 ", 344 ," $793,142.00 ", 64 , 64 ," $181,630.00 ", 72 ," $99,915.00 ", 210 , 210 ," $1,505,976.00 ", 397 ," $773,951.00 ", 5 , 5 ," $24,500.00 ", 5 ," $12,250.00 ", 1 , 1 ," $10,000.00 ", 1 ," $5,000.00 "
00503400, AMERICAN UNIVERSITY IN CAIRO (THE)                                     ,,000011835,Foreign-Private, 13 , 13 ," $63,750.00 ", 13 ," $31,702.00 ", 15 , 16 ," $50,750.00 ", 16 ," $27,750.00 ", 58 , 58 ," $926,923.00 ", 61 ," $602,484.00 ", 5 , 6 ," $180,690.00 ", 6 ," $95,345.00 ", 28 , 28 ," $397,282.00 ", 30 ," $257,445.00 "
00506400, SAINT JAMES MERCY HOSPITAL SCHOOL OF RADIOLOGIC SCIENCES               , NY ,148432197,Private-Nonprofit, 30 , 32 ," $111,853.00 ", 32 ," $55,927.00 ", 27 , 28 ," $117,447.00 ", 28 ," $58,724.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00510200, SCHOOL OF DIAGNOSTIC IMAGING-CLEVELAND CLINIC HEALTH SYSTEM            , OH ,441191090,Private-Nonprofit, 23 , 23 ," $89,450.00 ", 23 ," $45,750.00 ", 22 , 22 ," $94,500.00 ", 22 ," $47,250.00 ", -   , -   , $-   , -   , $-   , 1 , 1 ," $2,000.00 ", 1 ," $1,000.00 ", -   , -   , $-   , -   , $-   
00520400, BEAL COLLEGE                                                           , ME ,044016896,Proprietary, 244 , 245 ," $837,087.00 ", 455 ," $250,889.00 ", 220 , 228 ," $712,814.00 ", 421 ," $218,080.00 ", -   , -   , $-   , -   , $-   , 2 , 2 ," $7,525.00 ", 4 ," $3,763.00 ", -   , -   , $-   , -   , $-   
00520800, COLLEGE OF WESTCHESTER (THE)                                           , NY ,106061231,Proprietary, 649 , 650 ," $2,310,168.00 ", 954 ," $1,265,273.00 ", 614 , 614 ," $2,562,912.00 ", 912 ," $1,415,372.00 ", -   , -   , $-   , -   , $-   , 46 , 47 ," $326,052.00 ", 50 ," $174,864.00 ", -   , -   , $-   , -   , $-   
00522000, SALT LAKE COMMUNITY COLLEGE                                            , UT ,841230000,Public," 5,577 "," 5,745 "," $19,081,109.00 "," 5,743 "," $9,605,664.00 "," 1,806 "," 1,923 "," $7,144,949.00 "," 1,920 "," $4,000,235.00 ", -   , -   , $-   , -   , $-   , 6 , 6 ," $37,023.00 ", 6 ," $18,773.00 ", -   , -   , $-   , -   , $-   
00522300, NEW RIVER COMMUNITY COLLEGE                                            , VA ,240841127,Public, 615 , 627 ," $1,842,089.00 ", 627 ," $1,095,423.00 ", 480 , 490 ," $1,467,525.00 ", 490 ," $840,284.00 ", -   , -   , $-   , -   , $-   , 12 , 12 ," $78,999.00 ", 12 ," $44,749.00 ", -   , -   , $-   , -   , $-   
00524400, BLUEGRASS COMMUNITY & TECHNICAL COLLEGE                                , KY ,405060235,Public," 4,252 "," 4,252 "," $15,149,992.00 "," 4,234 "," $7,727,497.00 "," 3,772 "," 3,772 "," $14,779,338.00 "," 3,766 "," $7,663,046.00 ", -   , -   , $-   , -   , $-   , 31 , 31 ," $189,793.00 ", 33 ," $97,576.00 ", -   , -   , $-   , -   , $-   
00524500, UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT MORRILTON                  , AR ,721109601,Public, 573 , 577 ," $1,641,259.00 ", 804 ," $1,024,704.00 ", 447 , 448 ," $1,403,276.00 ", 640 ," $882,387.00 ", 6 , 6 ," $33,600.00 ", 7 ," $15,966.00 ", 1 , 1 ," $2,400.00 ", 1 ," $1,200.00 ", -   , -   , $-   , -   , $-   
00525200, RIDGEWATER COLLEGE                                                     , MN ,562012098,Public," 1,567 "," 1,606 "," $4,913,144.00 "," 1,606 "," $2,762,860.00 "," 1,500 "," 1,575 "," $5,440,463.00 "," 1,575 "," $3,021,119.00 ", -   , -   , $-   , -   , $-   , 12 , 14 ," $90,085.00 ", 14 ," $49,024.00 ", -   , -   , $-   , -   , $-   
00525800, HAWAII COMMUNITY COLLEGE                                               , HI ,967204075,Public, 303 , 303 ," $949,508.00 ", 367 ," $565,313.00 ", 187 , 190 ," $744,444.00 ", 221 ," $430,066.00 ", -   , -   , $-   , -   , $-   , 2 , 2 ," $12,831.00 ", 2 ," $6,416.00 ", -   , -   , $-   , -   , $-   
00526300, MINNESOTA WEST COMMUNITY AND TECHNICAL COLLEGE                         , MN ,562411096,Public," 1,106 "," 1,154 "," $3,733,349.00 "," 1,154 "," $2,122,903.00 "," 1,041 "," 1,128 "," $4,116,905.00 "," 1,127 "," $2,265,849.00 ", -   , -   , $-   , -   , $-   , 7 , 7 ," $40,232.00 ", 7 ," $21,366.00 ", -   , -   , $-   , -   , $-   
00526400, FLINT HILLS TECHNICAL COLLEGE                                          , KS ,668015999,Public, 231 , 232 ," $806,051.00 ", 243 ," $417,582.00 ", 174 , 178 ," $721,804.00 ", 187 ," $371,915.00 ", -   , -   , $-   , -   , $-   , 5 , 5 ," $25,500.00 ", 5 ," $16,000.00 ", -   , -   , $-   , -   , $-   
00526500, NORTH CENTRAL KANSAS TECHNICAL COLLEGE                                 , KS ,674200000,Public, 392 , 392 ," $1,421,656.00 ", 391 ," $710,833.00 ", 368 , 368 ," $1,699,138.00 ", 377 ," $836,356.00 ", -   , -   , $-   , -   , $-   , 71 , 71 ," $616,530.00 ", 73 ," $306,365.00 ", -   , -   , $-   , -   , $-   
00526700, NORTHWEST KANSAS TECHNICAL COLLEGE                                     , KS ,677353441,Public, 235 , 237 ," $443,186.00 ", 237 ," $441,436.00 ", 224 , 234 ," $369,093.00 ", 303 ," $368,093.00 ", -   , -   , $-   , -   , $-   , 4 , 4 ," $11,451.00 ", 4 ," $11,451.00 ", -   , -   , $-   , -   , $-   
00527100, SOUTHCENTRAL KENTUCKY COMMUNITY AND TECHNICAL COLLEGE                  , KY ,421013601,Public," 1,613 "," 1,613 "," $5,528,556.00 "," 1,609 "," $2,944,095.00 "," 1,391 "," 1,391 "," $5,291,874.00 "," 1,384 "," $2,760,661.00 ", -   , -   , $-   , -   , $-   , 4 , 4 ," $27,057.00 ", 5 ," $14,279.00 ", -   , -   , $-   , -   , $-   
00527300, GATEWAY COMMUNITY AND TECHNICAL COLLEGE                                , KY ,410422031,Public," 1,783 "," 1,863 "," $6,196,030.00 "," 1,839 "," $3,164,758.00 "," 1,601 "," 1,618 "," $6,551,705.00 "," 1,600 "," $3,319,769.00 ", -   , -   , $-   , -   , $-   , 3 , 3 ," $16,041.00 ", 3 ," $8,021.00 ", -   , -   , $-   , -   , $-   
00527600, CENTRAL MAINE COMMUNITY COLLEGE                                        , ME ,042106498,Public," 1,149 "," 1,151 "," $3,918,556.00 "," 1,156 "," $2,009,538.00 "," 1,023 "," 1,031 "," $4,239,163.00 "," 1,034 "," $2,157,974.00 ", -   , -   , $-   , -   , $-   , 19 , 19 ," $132,021.00 ", 19 ," $66,310.00 ", -   , -   , $-   , -   , $-   
00527700, EASTERN MAINE COMMUNITY COLLEGE                                        , ME ,044014280,Public, 916 , 921 ," $3,091,069.00 ", 921 ," $1,658,576.00 ", 879 , 906 ," $3,134,063.00 ", 906 ," $1,684,403.00 ", -   , -   , $-   , -   , $-   , 13 , 13 ," $66,896.00 ", 13 ," $34,948.00 ", -   , -   , $-   , -   , $-   
00527900, GREATER LOWELL REGIONAL VOCATIONAL TECHNICAL SCHOOL                    , MA ,018792214,Public, 38 , 40 ," $119,783.00 ", 40 ," $59,890.00 ", 32 , 33 ," $143,264.00 ", 33 ," $66,786.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00528800, KIRKSVILLE AREA TECHNICAL CENTER                                       , MO ,635013977,Public, 1 , 1 ," $1,328.00 ", 1 ," $1,328.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00528900, WAYNESVILLE CAREER CENTER                                              , MO ,655832131,Public, 27 , 27 ," $105,500.00 ", 27 ," $52,750.00 ", 25 , 25 ," $136,035.00 ", 25 ," $68,018.00 ", -   , -   , $-   , -   , $-   , 1 , 1 ," $4,014.00 ", 1 ," $2,007.00 ", -   , -   , $-   , -   , $-   
00529100, WHITE MOUNTAINS COMMUNITY COLLEGE                                      , NH ,035703799,Public, 334 , 335 ," $1,186,769.00 ", 337 ," $602,660.00 ", 292 , 294 ," $1,255,893.00 ", 296 ," $636,911.00 ", -   , -   , $-   , -   , $-   , 6 , 6 ," $58,107.00 ", 6 ," $29,055.00 ", -   , -   , $-   , -   , $-   
00529400, WAUKESHA COUNTY TECHNICAL COLLEGE                                      , WI ,530724601,Public," 1,865 "," 1,873 "," $6,245,355.00 "," 1,871 "," $3,345,676.00 "," 1,880 "," 1,934 "," $8,641,953.00 "," 1,925 "," $4,560,076.00 ", -   , -   , $-   , -   , $-   , 4 , 4 ," $21,750.00 ", 4 ," $10,875.00 ", -   , -   , $-   , -   , $-   
00530100, NORTHEAST WISCONSIN TECHNICAL COLLEGE                                  , WI ,543034999,Public," 3,099 "," 3,117 "," $11,037,691.00 "," 3,111 "," $5,683,925.00 "," 2,775 "," 2,798 "," $12,570,364.00 "," 2,790 "," $6,460,880.00 ", -   , -   , $-   , -   , $-   , 9 , 10 ," $55,011.00 ", 10 ," $31,850.00 ", -   , -   , $-   , -   , $-   
00530400, CHIPPEWA VALLEY TECHNICAL COLLEGE                                      , WI ,547016162,Public," 2,192 "," 2,223 "," $7,063,068.00 "," 2,224 "," $3,896,040.00 "," 1,979 "," 2,063 "," $7,699,149.00 "," 2,055 "," $4,215,330.00 ", -   , -   , $-   , -   , $-   , 9 , 9 ," $80,971.00 ", 9 ," $42,015.00 ", -   , -   , $-   , -   , $-   
00530600, BATES TECHNICAL COLLEGE                                                , WA ,984054895,Public, 274 , 274 ," $710,786.00 ", 510 ," $434,447.00 ", 252 , 252 ," $809,867.00 ", 466 ," $472,197.00 ", -   , -   , $-   , -   , $-   , 3 , 3 ," $12,716.00 ", 6 ," $10,716.00 ", -   , -   , $-   , -   , $-   
00530900, LAKE AREA TECHNICAL INSTITUTE                                          , SD ,572010730,Public, 953 , 957 ," $3,238,701.00 ", 978 ," $1,596,384.00 ", 996 ," 1,018 "," $3,650,269.00 "," 1,041 "," $1,775,583.00 ", -   , -   , $-   , -   , $-   , 28 , 32 ," $199,499.00 ", 33 ," $109,704.00 ", -   , -   , $-   , -   , $-   
00531000, PITTSBURGH INSTITUTE OF AERONAUTICS                                    , PA ,151222674,Private-Nonprofit, 202 , 203 ," $710,599.00 ", 261 ," $506,434.00 ", 199 , 200 ," $655,787.00 ", 262 ," $440,372.00 ", -   , -   , $-   , -   , $-   , 32 , 33 ," $351,831.00 ", 44 ," $266,731.00 ", -   , -   , $-   , -   , $-   
00531300, NORTH CENTRAL STATE COLLEGE                                            , OH ,449061546,Public, 731 , 731 ," $1,884,137.00 ", 731 ," $1,012,222.00 ", 522 , 522 ," $1,350,354.00 ", 522 ," $713,820.00 ", -   , -   , $-   , -   , $-   , 3 , 3 ," $6,466.00 ", 3 ," $4,966.00 ", -   , -   , $-   , -   , $-   
00531700, FORSYTH TECHNICAL COMMUNITY COLLEGE                                    , NC ,271035197,Public," 1,618 "," 1,618 "," $5,378,558.00 "," 1,628 "," $2,952,339.00 "," 1,622 "," 1,622 "," $7,426,088.00 "," 1,630 "," $4,067,792.00 ", -   , -   , $-   , -   , $-   , 4 , 4 ," $19,676.00 ", 4 ," $13,524.00 ", -   , -   , $-   , -   , $-   
00531800, CATAWBA VALLEY COMMUNITY COLLEGE                                       , NC ,286028302,Public, 303 , 303 ," $998,850.00 ", 303 ," $529,055.00 ", 179 , 179 ," $582,177.00 ", 179 ," $309,312.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00532000, CAPE FEAR COMMUNITY COLLEGE                                            , NC ,284013910,Public," 1,811 "," 1,812 "," $5,994,393.00 "," 1,837 "," $3,233,854.00 "," 1,700 "," 1,701 "," $6,317,159.00 "," 1,722 "," $3,336,856.00 ", 1 , 1 ," $6,000.00 ", 1 ," $3,000.00 ", 40 , 40 ," $268,538.00 ", 40 ," $131,345.00 ", -   , -   , $-   , -   , $-   
00533000, FAYETTE COUNTY CAREER & TECHNICAL INSTITUTE                            , PA ,154010122,Public, 40 , 40 ," $105,290.00 ", 40 ," $53,014.00 ", 27 , 27 ," $95,709.00 ", 25 ," $47,923.00 ", -   , -   , $-   , -   , $-   , 1 , 1 ," $3,530.00 ", 1 ," $1,765.00 ", -   , -   , $-   , -   , $-   
00533500, CENTRAL PENNSYLVANIA INSTITUTE OF SCIENCE AND TECHNOLOGY               , PA ,168238644,Public, 101 , 101 ," $304,427.00 ", 146 ," $225,260.00 ", 93 , 93 ," $339,983.00 ", 138 ," $256,524.00 ", -   , -   , $-   , -   , $-   , 7 , 7 ," $37,431.00 ", 9 ," $30,342.00 ", -   , -   , $-   , -   , $-   
00533900, METRO TECHNOLOGY CENTERS SCHOOL DISTRICT #22                           , OK ,731115240,Public, 137 , 137 ," $424,277.00 ", 138 ," $218,556.00 ", 117 , 118 ," $466,759.00 ", 119 ," $237,623.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00536300, DENMARK TECHNICAL COLLEGE                                              , SC ,290420000,Public," 1,190 "," 1,190 "," $4,083,210.00 "," 1,190 "," $2,066,396.00 ", 902 , 902 ," $1,819,233.00 ", 902 ," $925,804.00 ", 7 , 7 ," $19,000.00 ", 7 ," $11,000.00 ", 2 , 2 ," $13,220.00 ", 2 ," $6,610.00 ", -   , -   , $-   , -   , $-   
00536500, YORK COUNTY SCHOOL OF TECHNOLOGY                                       , PA ,174024696,Public, 30 , 30 ," $88,917.00 ", 30 ," $48,425.00 ", 30 , 30 ," $125,272.00 ", 30 ," $67,565.00 ", -   , -   , $-   , -   , $-   , 3 , 3 ," $15,568.00 ", 3 ," $11,318.00 ", -   , -   , $-   , -   , $-   
00537200, SOUTH PUGET SOUND COMMUNITY COLLEGE                                    , WA ,985126292,Public, 452 , 462 ," $1,356,390.00 ", 885 ," $985,475.00 ", 392 , 394 ," $1,533,802.00 ", 770 ," $1,082,436.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00537300, LAKE WASHINGTON INSTITUTE OF TECHNOLOGY                                , WA ,980348505,Public, 713 , 724 ," $2,175,310.00 ", 984 ," $1,209,361.00 ", 697 , 703 ," $2,985,134.00 ", 961 ," $1,543,438.00 ", -   , -   , $-   , -   , $-   , 2 , 2 ," $9,643.00 ", 2 ," $3,214.00 ", -   , -   , $-   , -   , $-   
00538000, MID-STATE TECHNICAL COLLEGE                                            , WI ,544945512,Public," 1,106 "," 1,107 "," $3,251,313.00 "," 1,118 "," $1,919,187.00 ", 554 , 600 ," $1,695,658.00 ", 651 ," $989,259.00 ", -   , -   , $-   , -   , $-   , 4 , 5 ," $27,560.00 ", 5 ," $13,780.00 ", -   , -   , $-   , -   , $-   
00538400, NICOLET AREA TECHNICAL COLLEGE                                         , WI ,545010518,Public, 503 , 506 ," $1,602,405.00 ", 505 ," $897,757.00 ", 149 , 159 ," $581,397.00 ", 159 ," $320,704.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00538700, NORTHCENTRAL TECHNICAL INSTITUTE                                       , WI ,544011899,Public," 1,716 "," 1,750 "," $5,831,800.00 "," 1,753 "," $2,970,465.00 ", 783 , 899 ," $3,255,623.00 ", 904 ," $1,668,613.00 ", -   , -   , $-   , -   , $-   , 3 , 3 ," $17,328.00 ", 3 ," $8,664.00 ", -   , -   , $-   , -   , $-   
00538900, GATEWAY TECHNICAL COLLEGE                                              , WI ,531441690,Public," 1,952 "," 1,954 "," $6,349,385.00 "," 1,954 "," $3,465,373.00 ", 980 ," 1,000 "," $3,498,467.00 "," 1,000 "," $1,902,643.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00539000, BLACKHAWK TECHNICAL COLLEGE                                            , WI ,535475009,Public," 1,243 "," 1,251 "," $4,505,236.00 "," 1,251 "," $2,267,397.00 ", 684 , 722 ," $2,551,769.00 ", 722 ," $1,329,689.00 ", -   , -   , $-   , -   , $-   , 2 , 2 ," $12,000.00 ", 2 ," $8,000.00 ", -   , -   , $-   , -   , $-   
00539900, MONMOUTH COUNTY VOCATIONAL SCHOOL DISTRICT                             , NJ ,077534473,Public, 33 , 33 ," $109,152.00 ", 33 ," $54,576.00 ", 23 , 23 ," $98,948.00 ", 23 ," $49,474.00 ", -   , -   , $-   , -   , $-   , 1 , 1 ," $7,000.00 ", 1 ," $3,500.00 ", -   , -   , $-   , -   , $-   
00542400, SOUTH CENTRAL CAREER CENTER                                            , MO ,657753334,Public, 38 , 38 ," $93,625.00 ", 64 ," $74,275.00 ", 23 , 23 ," $66,345.00 ", 38 ," $51,786.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00542600, SIKESTON CAREER AND TECHNOLOGY CENTER                                  , MO ,638013347,Public, 39 , 39 ," $129,840.00 ", 39 ," $64,921.00 ", 37 , 37 ," $195,370.00 ", 37 ," $97,686.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00542900, ROLLA TECHNICAL INSTITUTE CENTER                                       , MO ,654013601,Public, 87 , 89 ," $294,386.00 ", 120 ," $203,689.00 ", 83 , 86 ," $344,565.00 ", 119 ," $253,317.00 ", -   , -   , $-   , -   , $-   , 1 , 1 , $850.00 , 1 , $425.00 , -   , -   , $-   , -   , $-   
00543000, POPLAR BLUFF TECHNICAL CAREER CENTER                                   , MO ,639018960,Public, 33 , 33 ," $103,657.00 ", 33 ," $51,830.00 ", 25 , 26 ," $130,954.00 ", 26 ," $65,478.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   
00543800, SALINE COUNTY CAREER CENTER                                            , MO ,653401698,Public, 14 , 14 ," $45,823.00 ", 14 ," $22,912.00 ", 12 , 12 ," $63,177.00 ", 12 ," $31,589.00 ", -   , -   , $-   , -   , $-   , 1 , 1 ," $4,000.00 ", 1 ," $2,000.00 ", -   , -   , $-   , -   , $-   
00544500, TRUMAN MEDICAL CENTER SCHOOL OF NURSE ANESTHESIA                       , MO ,641082677,Private-Nonprofit, -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , 23 , 23 ," $468,500.00 ", 23 ," $234,250.00 ", -   , -   , $-   , -   , $-   , 20 , 20 ," $294,075.00 ", 20 ," $147,042.00 "
00544800, DURHAM TECHNICAL COMMUNITY COLLEGE                                     , NC ,277035023,Public, 943 , 943 ," $3,356,144.00 "," 1,680 "," $1,700,210.00 ", 915 , 915 ," $4,287,895.00 "," 1,693 "," $2,175,403.00 ", -   , -   , $-   , -   , $-   , 2 , 2 ," $19,700.00 ", 2 ," $10,485.00 ", -   , -   , $-   , -   , $-   
00545200, TETERBORO SCHOOL OF AERONAUTICS                                        , NJ ,076081083,Proprietary, 56 , 56 ," $216,900.00 ", 89 ," $116,785.00 ", 58 , 58 ," $197,600.00 ", 88 ," $99,550.00 ", -   , -   , $-   , -   , $-   , 1 , 1 ," $12,000.00 ", 1 ," $4,000.00 ", -   , -   , $-   , -   , $-   
00546100, SALEM COMMUNITY COLLEGE                                                , NJ ,080692799,Public, 176 , 176 ," $529,995.00 ", 177 ," $317,595.00 ", 177 , 177 ," $603,858.00 ", 179 ," $343,812.00 ", -   , -   , $-   , -   , $-   , 1 , 1 ," $11,936.00 ", 1 ," $5,968.00 ", -   , -   , $-   , -   , $-   
00549800, WICHITA AREA TECHNICAL COLLEGE - MAIN CAMPUS                           , KS ,672268101,Public," 1,153 "," 1,174 "," $3,897,972.00 "," 1,297 "," $1,847,291.00 "," 1,003 "," 1,035 "," $4,663,089.00 "," 1,141 "," $2,168,083.00 ", -   , -   , $-   , -   , $-   , 8 , 9 ," $77,155.00 ", 11 ," $42,887.00 ", -   , -   , $-   , -   , $-   
